PLAYER,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP
Jarvis Landry,27,16,16,0,0,0,0,0,1,10,10.00,0,138,83,1174,14.14,6,0,0,6,0,0
Jason Witten,37,16,16,0,0,0,0,0,0,0,0,0,83,63,529,8.40,4,1,1,4,1,0
Javon Wims,25,16,6,0,0,0,0,0,0,0,0,0,39,18,186,10.33,1,0,0,1,0,0
Jaydon Mickens,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Samuels,23,14,4,4,5,35,0,1,66,175,2.65,1,57,47,305,6.49,1,1,1,2,0,0
Jeff Driskel,26,3,3,62,105,685,4,4,22,151,6.86,1,1,1,6,6.00,0,1,0,1,0,0
Jeff Smith,22,1,0,0,0,0,0,0,0,0,0,0,2,1,12,12.00,0,0,0,0,0,0
Jeff Wilson,24,10,0,0,0,0,0,0,27,105,3.89,4,5,3,34,11.33,1,0,0,5,0,0
Jeremy McNichols,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Sprinkle,25,16,13,0,0,0,0,0,0,0,0,0,40,26,241,9.27,1,1,0,1,0,0
Jesse James,25,16,11,0,0,0,0,0,0,0,0,0,27,16,142,8.88,0,0,0,0,0,0
Jimmy Garoppolo,28,16,16,329,476,3978,27,13,46,62,1.35,1,0,0,0,0,0,10,5,1,0,2
Jimmy Graham,33,16,10,0,0,0,0,0,0,0,0,0,60,38,447,11.76,3,1,0,3,0,0
Joe Flacco,34,8,8,171,262,1822,6,5,12,20,1.67,0,0,0,0,0,0,8,3,0,0,1
Joe Mixon,23,16,15,0,0,0,0,0,278,1137,4.09,5,45,35,287,8.20,3,0,0,8,0,0
John Brown,29,15,15,1,1,28,1,0,2,7,3.50,0,115,72,1060,14.72,6,0,0,6,0,0
John Ross,24,8,8,0,0,0,0,0,3,4,1.33,0,56,28,506,18.07,3,1,1,3,0,0
Johnny Mundt,25,13,2,0,0,0,0,0,0,0,0,0,7,4,26,6.50,0,0,0,0,0,0
Jojo Natson,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Williams,25,9,1,0,0,0,0,0,49,235,4.80,1,5,5,59,11.80,0,0,0,1,0,0
Jonnu Smith,24,16,14,0,0,0,0,0,4,78,19.50,0,44,35,439,12.54,3,0,0,3,0,0
Jordan Akins,27,16,9,0,0,0,0,0,0,0,0,0,55,36,418,11.61,2,0,0,2,0,0
